station_id,lat,lon,elevation_m,grid_lat,grid_lon,dist_km,grid_elev_m,elev_diff_m,abs_elev_diff_m,koppen,coastal_30km,continent,total_valid_hours,total_valid_records,first_valid_time,last_valid_time
00841199999,8.2,134.6,0.0,8.200000000000001,134.6,1.9752214128049578e-13,0.0,0.0,0.0,Ocean/NA,True,Asia,13.0,59.0,2016-02-17 00:00:00,2016-02-17 12:00:00
00841499999,31.0,61.9,490.0,31.0,61.900000000000006,6.772380826812154e-13,484.0149841308594,5.985015869140625,5.985015869140625,B Arid,False,Asia,12.0,12.0,2016-02-16 23:00:00,2016-02-17 10:00:00
00841599999,7.3,134.2,0.0,7.300000000000001,134.20000000000002,3.1362931936955282e-12,0.4077923595905304,-0.4077923595905304,0.4077923595905304,Ocean/NA,True,Asia,26.0,26.0,2016-02-17 00:00:00,2020-03-14 11:00:00
00841899999,3.0,131.8,0.0,3.0,131.8,0.0,0.0,0.0,0.0,Ocean/NA,True,Asia,12.0,12.0,2016-02-17 00:00:00,2016-02-17 11:00:00
01001099999,70.9333333,-8.6666667,9.0,70.9,-8.700000000000001,3.8995674747195426,30.452943801879883,-21.452943801879883,21.452943801879883,Ocean/NA,True,Europe,51956.0,51956.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01001499999,59.791925,5.34085,48.76,59.800000000000004,5.300000000000001,2.455229548716507,103.04690551757812,-54.28690551757813,54.28690551757813,C Temperate,True,Europe,21897.0,36721.0,2015-01-04 14:00:00,2020-12-30 18:00:00
01002099999,80.05,16.25,8.0,80.0,16.2,5.642546236392039,140.26649475097656,-132.26649475097656,132.26649475097656,E Polar,True,Europe,42208.0,42208.0,2015-01-01 03:00:00,2020-12-31 20:00:00
01003099999,77.0,15.5,12.0,77.0,15.5,0.0,1.3986144065856934,10.601385593414307,10.601385593414307,Ocean/NA,True,Europe,47174.0,47174.0,2015-01-01 00:00:00,2020-12-31 03:00:00
01006099999,78.25,22.8166666,14.0,78.2,22.8,5.5726018449505546,36.62596130371094,-22.625961303710938,22.625961303710938,E Polar,True,Europe,45203.0,45203.0,2015-01-01 03:00:00,2020-12-31 20:00:00
01007099999,78.9166666,11.9333333,7.7,78.9,11.9,1.9856882897531467,24.261198043823242,-16.561198043823243,16.561198043823243,E Polar,True,Europe,48188.0,48189.0,2015-01-01 00:00:00,2020-12-31 21:00:00
01008099999,78.246111,15.465556,26.82,78.2,15.5,5.186563800790799,106.70336151123047,-79.88336151123048,79.88336151123048,E Polar,True,Europe,52411.0,118172.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01009099999,80.65,25.0,5.0,80.60000000000001,25.0,5.559754011676329,0.11284033209085464,4.887159667909145,4.887159667909145,Ocean/NA,True,Europe,43799.0,43799.0,2015-01-01 03:00:00,2020-12-30 00:00:00
01010099999,69.2925,16.144167,13.1,69.3,16.1,1.926168970219254,70.6440200805664,-57.544020080566405,57.544020080566405,D Cold,True,Europe,52534.0,148675.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01011099999,80.0666666,31.5,10.0,80.10000000000001,31.5,3.7065100874568486,87.75817108154297,-77.75817108154297,77.75817108154297,Ocean/NA,True,Europe,45061.0,45061.0,2015-01-01 03:00:00,2020-12-30 09:00:00
01015099999,69.6,17.8333333,14.0,69.60000000000001,17.8,1.2919819176474074,0.0828411728143692,13.91715882718563,13.91715882718563,D Cold,True,Europe,47718.0,47718.0,2015-01-02 15:00:00,2020-12-31 22:00:00
01016099999,78.9333333,28.9,20.0,78.9,28.900000000000002,3.7064989679479052,4.75895357131958,15.24104642868042,15.24104642868042,E Polar,True,Europe,46721.0,46721.0,2015-01-01 03:00:00,2020-12-30 21:00:00
01017099999,77.6833333,14.7833333,6.0,77.7,14.8,1.89489549928467,6.803102970123291,-0.803102970123291,0.803102970123291,Ocean/NA,True,Europe,46468.0,46468.0,2015-01-01 03:00:00,2020-12-31 06:00:00
01020099999,76.4833333,16.55,10.0,76.5,16.6,2.2629928092517333,0.5108473300933838,9.489152669906616,9.489152669906616,E Polar,True,Europe,39820.0,39820.0,2015-01-01 03:00:00,2020-12-30 22:00:00
01023099999,69.055758,18.540356,76.8,69.10000000000001,18.5,5.173898083390669,154.50442504882812,-77.70442504882813,77.70442504882813,D Cold,True,Europe,52421.0,144057.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01023199999,64.35,7.8,0.0,64.3,7.800000000000001,5.559754011676329,0.0,0.0,0.0,Ocean/NA,True,Europe,30729.0,60893.0,2015-01-01 00:00:00,2020-11-24 06:00:00
01024099999,78.65,16.3666666,20.0,78.60000000000001,16.400000000000002,5.607608409654381,26.992755889892578,-6.992755889892578,6.992755889892578,Ocean/NA,True,Europe,43561.0,43561.0,2015-01-01 03:00:00,2020-12-30 12:00:00
01025099999,69.683333,18.918919,9.44,69.7,18.900000000000002,1.9919275870226467,161.87767028808594,-152.43767028808594,152.43767028808594,D Cold,True,Europe,52495.0,142971.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01026099999,69.65,18.9333333,114.5,69.60000000000001,18.900000000000002,5.707553299178558,97.1157455444336,17.384254455566406,17.384254455566406,D Cold,True,Europe,51559.0,51560.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01027099999,69.65,18.9,20.0,69.60000000000001,18.900000000000002,5.559754011676329,97.1157455444336,-77.1157455444336,77.1157455444336,D Cold,True,Europe,51693.0,51693.0,2015-01-01 00:00:00,2020-12-31 23:00:00
01028099999,74.5166667,19.0166667,18.0,74.5,19.0,1.9182232132607444,66.12533569335938,-48.125335693359375,48.125335693359375,Ocean/NA,True,Europe,50819.0,50820.0,2015-01-01 00:00:00,2020-12-31 22:00:00
