station,lat,lon,n_years,years
01151099999,66.3666666,14.3,6,2015;2016;2017;2018;2019;2020
01152099999,67.269167,14.365278,6,2015;2016;2017;2018;2019;2020
01154099999,68.5833333,14.3,1,2017
01156099999,68.6,14.4333333,6,2015;2016;2017;2018;2019;2020
01158099999,67.1666666,15.4833333,6,2015;2016;2017;2018;2019;2020
01160099999,68.15,14.65,6,2015;2016;2017;2018;2019;2020
01161099999,68.25,14.6666667,6,2015;2016;2017;2018;2019;2020
01162099999,68.5833333,15.0166667,6,2015;2016;2017;2018;2019;2020
01167099999,68.7,15.4166666,5,2015;2016;2017;2018;2019
01169099999,66.9333333,15.3166666,6,2015;2016;2017;2018;2019;2020
01180099999,68.8,16.5333333,6,2015;2016;2017;2018;2019;2020
01183099999,68.4913,16.678108,6,2015;2016;2017;2018;2019;2020
01192099999,68.4166666,17.65,6,2015;2016;2017;2018;2019;2020
01193099999,68.4666667,17.5,3,2015;2016;2017
01198099999,68.7833333,19.7,6,2015;2016;2017;2018;2019;2020
01199099999,68.75,23.5333333,6,2015;2016;2017;2018;2019;2020
01203099999,62.0333333,4.9833333,6,2015;2016;2017;2018;2019;2020
01205099999,62.3333333,5.2666666,6,2015;2016;2017;2018;2019;2020
01207099999,62.1,5.5833333,4,2015;2016;2017;2018
01209099999,62.1833333,6.0666667,6,2015;2016;2017;2018;2019;2020
01210099999,62.560372,6.110164,6,2015;2016;2017;2018;2019;2020
01212099999,62.8666666,6.5333333,6,2015;2016;2017;2018;2019;2020
01214099999,62.65,6.7666666,6,2015;2016;2017;2018;2019;2020
01217099999,62.744722,7.2625,6,2015;2016;2017;2018;2019;2020
01218099999,62.2333333,7.4166666,6,2015;2016;2017;2018;2019;2020
01220099999,62.45,7.7666666,6,2015;2016;2017;2018;2019;2020
01221099999,63.05,9.0833333,6,2015;2016;2017;2018;2019;2020
01223099999,63.111781,7.824522,6,2015;2016;2017;2018;2019;2020
01224099999,62.4666666,6.2166666,6,2015;2016;2017;2018;2019;2020
01225099999,63.5166666,7.95,6,2015;2016;2017;2018;2019;2020
