station,lat,lon,n_years_ok,total_hours,common_hours,has_valid_month_1pt_fixed12,has_valid_month_2pt_fixed_00_12,has_valid_month_1pt_daily_mean,has_valid_month_2pt_dynamic,has_valid_month_baseline,has_valid_month_scaled
01144099999,67.4,13.8833333,6,49109,0,False,False,False,False,False,False
01146099999,66.2333333,13.8833333,6,50204,40545,True,True,True,True,True,True
01147099999,65.8333333,14.1833333,6,49637,40018,True,True,True,True,True,True
01148099999,66.3833333,14.5166666,6,48204,38700,True,True,True,True,True,True
01150099999,66.5,14.95,6,48797,38371,True,True,True,True,True,True
01151099999,66.3666666,14.3,6,50341,38700,True,True,True,True,True,True
01152099999,67.269167,14.365278,6,52514,0,False,False,False,False,False,False
01154099999,68.5833333,14.3,1,1,0,False,False,False,False,False,False
01156099999,68.6,14.4333333,6,49090,0,False,False,False,False,False,False
01158099999,67.1666666,15.4833333,6,49352,39046,True,True,True,True,True,True
01160099999,68.15,14.65,6,49854,0,False,False,False,False,False,False
01161099999,68.25,14.6666667,6,50168,0,False,False,False,False,False,False
01162099999,68.5833333,15.0166667,6,49878,0,False,False,False,False,False,False
01167099999,68.7,15.4166666,5,14264,14079,True,True,True,True,True,True
01169099999,66.9333333,15.3166666,6,50679,41132,True,True,True,True,True,True
01180099999,68.8,16.5333333,6,51345,49246,True,True,True,True,True,True
01183099999,68.4913,16.678108,6,52326,51792,True,True,True,True,True,True
01192099999,68.4166666,17.65,6,49943,36613,True,True,True,True,True,True
01193099999,68.4666667,17.5,3,19618,0,False,False,False,False,False,False
01198099999,68.7833333,19.7,6,46956,33886,True,True,True,True,True,True
01199099999,68.75,23.5333333,6,44236,31969,True,True,True,True,True,True
01203099999,62.0333333,4.9833333,6,49504,0,False,False,False,False,False,False
01205099999,62.3333333,5.2666666,6,47646,0,False,False,False,False,False,False
01207099999,62.1,5.5833333,4,3772,0,True,False,True,True,True,True
01209099999,62.1833333,6.0666667,6,50243,47415,True,True,True,True,True,True
01210099999,62.560372,6.110164,6,52522,0,False,False,False,False,False,False
